"","retro","odds"
"1","SLN","STL"
"2","CHA","CWS"
"3","ANA","LAA"
"4","SFN","SFO"
"5","SDN","SDG"
"6","NYN","NYM"
"7","KCA","KAN"
"8","LAN","LAD"
"9","CHN","CUB"
"10","TBA","TAM"
"11","NYA","NYY"
"12","LAN","LOS"
"13","SFN","SFG"
"14","BOS","BRS"
"15","CHN","CHC"
"16","SLN","SLN"
"17","MIN","MIN"
"18","CLE","CLE"
"19","CHA","CHA"
"20","TOR","TOR"
"21","TEX","TEX"
"22","ANA","ANA"
"23","BAL","BAL"
"24","SFN","SFN"
"25","PIT","PIT"
"26","SDN","SDN"
"27","ATL","ATL"
"28","COL","COL"
"29","BOS","BOS"
"30","NYN","NYN"
"31","KCA","KCA"
"32","DET","DET"
"33","SEA","SEA"
"34","HOU","HOU"
"35","LAN","LAN"
"36","CHN","CHN"
"37","TBA","TBA"
"38","WAS","WAS"
"39","NYA","NYA"
"40","OAK","OAK"
"41","MIA","MIA"
"42","CIN","CIN"
"43","PHI","PHI"
"44","ARI","ARI"
"45","MIL","MIL"
